prediction,attack_probability,threat_severity,uncertainty,criticality,decision_score,risk_level,decision_priority,human_review_required,recommended_action,important_features,decision_reason
1,0.8510932326316833,0.8510932326316833,0.2978135347366333,0.5,0.7154372930526733,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.851; uncertainty=0.298
0,0.38447895646095276,0.38447895646095276,0.7689579129219055,0.5,0.45947895646095277,MODERATE,P3,True,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.384; uncertainty=0.769
0,0.38543105125427246,0.38543105125427246,0.7708621025085449,0.5,0.46043105125427247,MODERATE,P3,True,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, cat__proto_ospf",Risk=MODERATE; attack_probability=0.385; uncertainty=0.771
0,0.3590056300163269,0.3590056300163269,0.7180112600326538,0.5,0.4340056300163269,MODERATE,P3,True,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.359; uncertainty=0.718
0,0.00018525912309996784,0.00018525912309996784,0.0003705182461999357,0.5,0.07518525912309997,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.00018525912309996784,0.00018525912309996784,0.0003705182461999357,0.5,0.07518525912309997,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.00018525912309996784,0.00018525912309996784,0.0003705182461999357,0.5,0.07518525912309997,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
1,0.5866835117340088,0.5866835117340088,0.8266329765319824,0.5,0.6096734046936034,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, cat__proto_ospf",Risk=HIGH; attack_probability=0.587; uncertainty=0.827
0,0.00018525912309996784,0.00018525912309996784,0.0003705182461999357,0.5,0.07518525912309997,LOW,P4,False,Monitor,"num__sttl, cat__proto_igmp, cat__proto_unas",Risk=LOW; attack_probability=0.0; uncertainty=0.0
0,0.37256136536598206,0.37256136536598206,0.7451227307319641,0.5,0.44756136536598207,MODERATE,P3,True,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.373; uncertainty=0.745
0,0.3154754042625427,0.3154754042625427,0.6309508085250854,0.5,0.39047540426254274,MODERATE,P3,False,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.315; uncertainty=0.631
0,0.34974968433380127,0.34974968433380127,0.6994993686676025,0.5,0.4247496843338013,MODERATE,P3,False,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.35; uncertainty=0.699
1,0.9164962768554688,0.9164962768554688,0.1670074462890625,0.5,0.7415985107421874,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=HIGH; attack_probability=0.916; uncertainty=0.167
0,0.2511692941188812,0.2511692941188812,0.5023385882377625,0.5,0.32616929411888124,LOW,P4,False,Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=LOW; attack_probability=0.251; uncertainty=0.502
0,0.28473901748657227,0.28473901748657227,0.5694780349731445,0.5,0.3597390174865723,MODERATE,P3,False,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.285; uncertainty=0.569
0,0.31217432022094727,0.31217432022094727,0.6243486404418945,0.5,0.3871743202209473,MODERATE,P3,False,Investigate and Monitor,"cat__proto_igmp, cat__proto_unas, num__sttl",Risk=MODERATE; attack_probability=0.312; uncertainty=0.624
1,0.9156218767166138,0.9156218767166138,0.16875624656677246,0.5,0.7412487506866454,HIGH,P2,True,Escalate and Investigate,"cat__proto_igmp, cat__proto_unas, num__ct_dst_ltm",Risk=HIGH; attack_probability=0.916; uncertainty=0.169
